state,suspectubility,territory_code_per_location,rate
new_mexico,low,111,0.141
new_mexico,average,111,0.197
new_mexico,high,111,0.233
new_mexico,low,112,0.141
new_mexico,average,112,0.197
new_mexico,high,112,0.233
new_mexico,low,113,0.141
new_mexico,average,113,0.197
new_mexico,high,113,0.233
new_mexico,low,121,0.122
new_mexico,average,121,0.17
new_mexico,high,121,0.201
new_mexico,low,122,0.122
new_mexico,average,122,0.17
new_mexico,high,122,0.201
new_mexico,low,123,0.122
new_mexico,average,123,0.17
new_mexico,high,123,0.201
idaho,low,111,0.143
idaho,average,111,0.199
idaho,high,111,0.236
idaho,low,112,0.143
idaho,average,112,0.199
idaho,high,112,0.236
idaho,low,122,0.125
idaho,average,122,0.175
idaho,high,122,0.207
oklahoma,low,111,0.181
oklahoma,average,111,0.253
oklahoma,high,111,0.3
oklahoma,low,112,0.181
oklahoma,average,112,0.253
oklahoma,high,112,0.3
oklahoma,low,113,0.181
oklahoma,average,113,0.253
oklahoma,high,113,0.3
oklahoma,low,114,0.181
oklahoma,average,114,0.253
oklahoma,high,114,0.3
oklahoma,low,121,0.123
oklahoma,average,121,0.172
oklahoma,high,121,0.204
oklahoma,low,131,0.154
oklahoma,average,131,0.213
oklahoma,high,131,0.254
oklahoma,low,141,0.147
oklahoma,average,141,0.206
oklahoma,high,141,0.244
south_carolina,low,111,0.362
south_carolina,average,111,0.507
south_carolina,high,111,0.604
south_carolina,low,112,0.362
south_carolina,average,112,0.507
south_carolina,high,112,0.604
south_carolina,low,113,0.362
south_carolina,average,113,0.507
south_carolina,high,113,0.604
south_carolina,low,114,0.362
south_carolina,average,114,0.507
south_carolina,high,114,0.604
south_carolina,low,115,0.362
south_carolina,average,115,0.507
south_carolina,high,115,0.604
south_carolina,low,121,0.306
south_carolina,average,121,0.428
south_carolina,high,121,0.51
south_carolina,low,122,0.306
south_carolina,average,122,0.428
south_carolina,high,122,0.51
south_carolina,low,123,0.306
south_carolina,average,123,0.428
south_carolina,high,123,0.51
south_carolina,low,124,0.306
south_carolina,average,124,0.428
south_carolina,high,124,0.51
north_carolina,low,111,0.185
north_carolina,average,111,0.258
north_carolina,high,111,0.307
north_carolina,low,112,0.185
north_carolina,average,112,0.258
north_carolina,high,112,0.307
north_carolina,low,113,0.185
north_carolina,average,113,0.258
north_carolina,high,113,0.307
north_carolina,low,114,0.185
north_carolina,average,114,0.258
north_carolina,high,114,0.307
north_carolina,low,115,0.185
north_carolina,average,115,0.258
north_carolina,high,115,0.307
north_carolina,low,116,0.185
north_carolina,average,116,0.258
north_carolina,high,116,0.307
north_carolina,low,121,0.109
north_carolina,average,121,0.152
north_carolina,high,121,0.18
north_carolina,low,124,0.109
north_carolina,average,124,0.152
north_carolina,high,124,0.18
north_carolina,low,132,0.154
north_carolina,average,132,0.214
north_carolina,high,132,0.254
north_carolina,low,133,0.154
north_carolina,average,133,0.214
north_carolina,high,133,0.254
north_carolina,low,134,0.154
north_carolina,average,134,0.214
north_carolina,high,134,0.254
north_carolina,low,135,0.154
north_carolina,average,135,0.214
north_carolina,high,135,0.254
michigan,low,111,0.102
michigan,average,111,0.14
michigan,high,111,0.167
michigan,low,112,0.102
michigan,average,112,0.14
michigan,high,112,0.167
michigan,low,113,0.102
michigan,average,113,0.14
michigan,high,113,0.167
michigan,low,114,0.102
michigan,average,114,0.14
michigan,high,114,0.167
michigan,low,123,0.157
michigan,average,123,0.218
michigan,high,123,0.259
michigan,low,131,0.085
michigan,average,131,0.117
michigan,high,131,0.138
michigan,low,132,0.085
michigan,average,132,0.117
michigan,high,132,0.138
michigan,low,133,0.085
michigan,average,133,0.117
michigan,high,133,0.138
utah,low,110,0.106
utah,average,110,0.147
utah,high,110,0.175
utah,low,120,0.091
utah,average,120,0.126
utah,high,120,0.149
utah,low,130,0.094
utah,average,130,0.13
utah,high,130,0.154
mississippi,low,111,0.278
mississippi,average,111,0.389
mississippi,high,111,0.464
mississippi,low,112,0.278
mississippi,average,112,0.389
mississippi,high,112,0.464
mississippi,low,113,0.278
mississippi,average,113,0.389
mississippi,high,113,0.464
mississippi,low,114,0.278
mississippi,average,114,0.389
mississippi,high,114,0.464
tennessee,low,111,0.272
tennessee,average,111,0.381
tennessee,high,111,0.453
tennessee,low,112,0.272
tennessee,average,112,0.381
tennessee,high,112,0.453
tennessee,low,113,0.272
tennessee,average,113,0.381
tennessee,high,113,0.453
tennessee,low,121,0.242
tennessee,average,121,0.339
tennessee,high,121,0.404
tennessee,low,132,0.295
tennessee,average,132,0.413
tennessee,high,132,0.492
wisconsin,low,111,0.11
wisconsin,average,111,0.154
wisconsin,high,111,0.182
wisconsin,low,112,0.11
wisconsin,average,112,0.154
wisconsin,high,112,0.182
wisconsin,low,113,0.11
wisconsin,average,113,0.154
wisconsin,high,113,0.182
wisconsin,low,121,0.164
wisconsin,average,121,0.228
wisconsin,high,121,0.272
wisconsin,low,131,0.099
wisconsin,average,131,0.136
wisconsin,high,131,0.162
wisconsin,low,132,0.099
wisconsin,average,132,0.136
wisconsin,high,132,0.162
wisconsin,low,133,0.099
wisconsin,average,133,0.136
wisconsin,high,133,0.162
nevada,low,111,0.175
nevada,average,111,0.243
nevada,high,111,0.29
nevada,low,112,0.175
nevada,average,112,0.243
nevada,high,112,0.29
nevada,low,122,0.147
nevada,average,122,0.205
nevada,high,122,0.243
nevada,low,131,0.157
nevada,average,131,0.217
nevada,high,131,0.259
nevada,low,132,0.157
nevada,average,132,0.217
nevada,high,132,0.259
kansas,low,111,0.106
kansas,average,111,0.147
kansas,high,111,0.175
kansas,low,112,0.106
kansas,average,112,0.147
kansas,high,112,0.175
kansas,low,113,0.106
kansas,average,113,0.147
kansas,high,113,0.175
kansas,low,114,0.106
kansas,average,114,0.147
kansas,high,114,0.175
new_york,low,111,0.228
new_york,average,111,0.319
new_york,high,111,0.38
new_york,low,112,0.228
new_york,average,112,0.319
new_york,high,112,0.38
new_york,low,113,0.228
new_york,average,113,0.319
new_york,high,113,0.38
new_york,low,114,0.228
new_york,average,114,0.319
new_york,high,114,0.38
new_york,low,115,0.228
new_york,average,115,0.319
new_york,high,115,0.38
new_york,low,116,0.228
new_york,average,116,0.319
new_york,high,116,0.38
new_york,low,126,0.249
new_york,average,126,0.246
new_york,high,126,0.293
new_york,low,136,0.177
new_york,average,136,0.246
new_york,high,136,0.293
new_york,low,141,0.148
new_york,average,141,0.207
new_york,high,141,0.245
new_york,low,142,0.148
new_york,average,142,0.207
new_york,high,142,0.245
new_york,low,143,0.148
new_york,average,143,0.207
new_york,high,143,0.245
new_york,low,144,0.148
new_york,average,144,0.207
new_york,high,144,0.245
new_york,low,151,0.211
new_york,average,151,0.295
new_york,high,151,0.35
new_york,low,152,0.211
new_york,average,152,0.295
new_york,high,152,0.35
new_york,low,153,0.211
new_york,average,153,0.295
new_york,high,153,0.35
new_york,low,154,0.211
new_york,average,154,0.295
new_york,high,154,0.35
new_york,low,155,0.211
new_york,average,155,0.295
new_york,high,155,0.35
new_york,low,156,0.211
new_york,average,156,0.295
new_york,high,156,0.35
alabama,low,111,0.571
alabama,average,111,0.802
alabama,high,111,0.956
alabama,low,112,0.571
alabama,average,112,0.802
alabama,high,112,0.956
alabama,low,113,0.571
alabama,average,113,0.802
alabama,high,113,0.956
alabama,low,114,0.571
alabama,average,114,0.802
alabama,high,114,0.956
alabama,low,122,0.091
alabama,average,122,0.126
alabama,high,122,0.149
new_jersey,low,111,0.217
new_jersey,average,111,0.304
new_jersey,high,111,0.362
new_jersey,low,112,0.217
new_jersey,average,112,0.304
new_jersey,high,112,0.362
new_jersey,low,113,0.217
new_jersey,average,113,0.304
new_jersey,high,113,0.362
new_jersey,low,122,0.249
new_jersey,average,122,0.349
new_jersey,high,122,0.416
new_jersey,low,132,0.305
new_jersey,average,132,0.427
new_jersey,high,132,0.509
new_jersey,low,141,0.2
new_jersey,average,141,0.28
new_jersey,high,141,0.332
new_jersey,low,142,0.2
new_jersey,average,142,0.28
new_jersey,high,142,0.332
oregon,low,110,0.102
oregon,average,110,0.141
oregon,high,110,0.168
oregon,low,120,0.11
oregon,average,120,0.154
oregon,high,120,0.182
oregon,low,130,0.092
oregon,average,130,0.127
oregon,high,130,0.152
west_virginia,low,110,0.227
west_virginia,average,110,0.318
west_virginia,high,110,0.378
west_virginia,low,120,0.179
west_virginia,average,120,0.249
west_virginia,high,120,0.296
west_virginia,low,130,0.181
west_virginia,average,130,0.253
west_virginia,high,130,0.301
new_hampshire,low,111,0.237
new_hampshire,average,111,0.332
new_hampshire,high,111,0.396
new_hampshire,low,112,0.237
new_hampshire,average,112,0.332
new_hampshire,high,112,0.396
new_hampshire,low,113,0.237
new_hampshire,average,113,0.332
new_hampshire,high,113,0.396
new_hampshire,low,114,0.237
new_hampshire,average,114,0.332
new_hampshire,high,114,0.396
new_hampshire,low,122,0.203
new_hampshire,average,122,0.284
new_hampshire,high,122,0.337
new_hampshire,low,132,0.213
new_hampshire,average,132,0.298
new_hampshire,high,132,0.354
new_hampshire,low,133,0.213
new_hampshire,average,133,0.298
new_hampshire,high,133,0.354
california,low,110,0.104
california,average,110,0.143
california,high,110,0.171
california,low,120,0.121
california,average,120,0.169
california,high,120,0.2
california,low,130,0.12
california,average,130,0.167
california,high,130,0.197
california,low,140,0.096
california,average,140,0.133
california,high,140,0.158
california,low,150,0.127
california,average,150,0.177
california,high,150,0.209
california,low,160,0.134
california,average,160,0.187
california,high,160,0.222
california,low,170,0.089
california,average,170,0.122
california,high,170,0.144
california,low,180,0.112
california,average,180,0.156
california,high,180,0.185
california,low,190,0.105
california,average,190,0.146
california,high,190,0.173
connecticut,low,111,0.162
connecticut,average,111,0.224
connecticut,high,111,0.268
connecticut,low,112,0.162
connecticut,average,112,0.224
connecticut,high,112,0.268
connecticut,low,113,0.162
connecticut,average,113,0.224
connecticut,high,113,0.268
connecticut,low,114,0.162
connecticut,average,114,0.224
connecticut,high,114,0.268
connecticut,low,115,0.162
connecticut,average,115,0.224
connecticut,high,115,0.268
connecticut,low,121,0.16
connecticut,average,121,0.225
connecticut,high,121,0.266
connecticut,low,122,0.16
connecticut,average,122,0.225
connecticut,high,122,0.266
connecticut,low,123,0.16
connecticut,average,123,0.225
connecticut,high,123,0.266
connecticut,low,124,0.16
connecticut,average,124,0.225
connecticut,high,124,0.266
connecticut,low,125,0.16
connecticut,average,125,0.225
connecticut,high,125,0.266
connecticut,low,132,0.165
connecticut,average,132,0.231
connecticut,high,132,0.273
connecticut,low,134,0.165
connecticut,average,134,0.231
connecticut,high,134,0.273
arizona,low,110,0.114
arizona,average,110,0.159
arizona,high,110,0.188
arizona,low,120,0.119
arizona,average,120,0.166
arizona,high,120,0.197
arizona,low,130,0.092
arizona,average,130,0.127
arizona,high,130,0.149
arizona,low,140,0.113
arizona,average,140,0.156
arizona,high,140,0.185
arizona,low,150,0.104
arizona,average,150,0.144
arizona,high,150,0.172
alaska,low,110,0.246
alaska,average,110,0.345
alaska,high,110,0.411
alaska,low,120,0.214
alaska,average,120,0.299
alaska,high,120,0.355
